1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:5.0	10:0.0	11:1.0	12:0.0	13:12.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:1.0	8:0.0	9:10.0	10:0.0	11:0.0	12:0.0	13:11.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:19.0	10:1.0	11:1.0	12:0.0	13:8.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:37.0	10:1.0	11:0.0	12:0.0	13:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:1.0	8:0.0	9:5.0	10:0.0	11:0.0	12:0.0	13:13.0
1:0.0	2:0.0	3:0.0	4:1.0	5:1.0	6:0.0	7:1.0	8:0.0	9:34.0	10:1.0	11:1.0	12:0.0	13:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:2.0	8:0.0	9:21.0	10:0.0	11:1.0	12:0.0	13:5.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:10.0	10:0.0	11:0.0	12:0.0	13:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:4.0	10:0.0	11:0.0	12:0.0	13:5.0
1:0.0	2:0.0	3:0.0	4:1.0	5:1.0	6:0.0	7:0.0	8:0.0	9:26.0	10:1.0	11:0.0	12:0.0	13:11.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:6.0	10:0.0	11:1.0	12:0.0	13:2.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:17.0	10:1.0	11:1.0	12:0.0	13:1.0
