1:5.0	2:0.0	3:0.0	4:0.0	5:7.0	6:0.0	7:1.0	8:0.0	9:5.0	10:1.0	11:0.0	12:1.0	13:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:6.0	6:0.0	7:1.0	8:2.0	9:3.0	10:1.0	11:0.0	12:1.0	13:0.0
1:1.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:7.0	10:1.0	11:0.0	12:1.0	13:0.0
1:8.0	2:0.0	3:0.0	4:0.0	5:6.0	6:1.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:14.0	2:0.0	3:1.0	4:0.0	5:8.0	6:0.0	7:1.0	8:0.0	9:5.0	10:0.0	11:0.0	12:0.0	13:1.0
1:6.0	2:0.0	3:0.0	4:0.0	5:6.0	6:1.0	7:1.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:4.0	2:0.0	3:0.0	4:0.0	5:1.0	6:1.0	7:0.0	8:0.0	9:10.0	10:1.0	11:0.0	12:1.0	13:1.0
1:11.0	2:0.0	3:0.0	4:0.0	5:4.0	6:1.0	7:1.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:11.0	2:0.0	3:0.0	4:0.0	5:5.0	6:1.0	7:1.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:7.0	2:0.0	3:0.0	4:0.0	5:4.0	6:1.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:6.0	2:1.0	3:1.0	4:0.0	5:1.0	6:1.0	7:0.0	8:1.0	9:3.0	10:0.0	11:0.0	12:0.0	13:0.0
1:11.0	2:0.0	3:0.0	4:0.0	5:3.0	6:2.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:5.0	2:1.0	3:1.0	4:0.0	5:5.0	6:0.0	7:0.0	8:0.0	9:7.0	10:0.0	11:0.0	12:0.0	13:1.0
1:7.0	2:0.0	3:0.0	4:0.0	5:0.0	6:2.0	7:0.0	8:0.0	9:7.0	10:1.0	11:0.0	12:1.0	13:1.0
1:35.0	2:0.0	3:0.0	4:0.0	5:4.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:9.0	2:0.0	3:0.0	4:0.0	5:0.0	6:1.0	7:0.0	8:0.0	9:7.0	10:1.0	11:0.0	12:1.0	13:1.0
1:8.0	2:1.0	3:0.0	4:0.0	5:6.0	6:0.0	7:0.0	8:0.0	9:13.0	10:1.0	11:0.0	12:0.0	13:1.0
